name,category,iconName,nodeId,assetPath,useTier,verification,notes
Doctype Icons / Ai,Doctype Icons,Ai,1518:29428,icon-assets/exported-svg/Doctype Icons/Ai.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / Attachment,Doctype Icons,Attachment,1518:29436,icon-assets/exported-svg/Doctype Icons/Attachment.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / Box Notes,Doctype Icons,Box Notes,1518:29438,icon-assets/exported-svg/Doctype Icons/Box Notes.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / CSV,Doctype Icons,CSV,1518:29440,icon-assets/exported-svg/Doctype Icons/CSV.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / EPS,Doctype Icons,EPS,1518:29442,icon-assets/exported-svg/Doctype Icons/EPS.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / EXE,Doctype Icons,EXE,1518:29444,icon-assets/exported-svg/Doctype Icons/EXE.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / Flash,Doctype Icons,Flash,1518:29446,icon-assets/exported-svg/Doctype Icons/Flash.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / Folder,Doctype Icons,Folder,1518:29448,icon-assets/exported-svg/Doctype Icons/Folder.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / G-Dock,Doctype Icons,G-Dock,1518:29450,icon-assets/exported-svg/Doctype Icons/G-Dock.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / G-Form,Doctype Icons,G-Form,1518:29452,icon-assets/exported-svg/Doctype Icons/G-Form.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / G-Press,Doctype Icons,G-Press,1518:29454,icon-assets/exported-svg/Doctype Icons/G-Press.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / G-Sheet,Doctype Icons,G-Sheet,1518:29456,icon-assets/exported-svg/Doctype Icons/G-Sheet.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / HTML,Doctype Icons,HTML,1518:29458,icon-assets/exported-svg/Doctype Icons/HTML.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / Image,Doctype Icons,Image,1518:29460,icon-assets/exported-svg/Doctype Icons/Image.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / Keynote,Doctype Icons,Keynote,1518:29462,icon-assets/exported-svg/Doctype Icons/Keynote.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / Link,Doctype Icons,Link,1518:29464,icon-assets/exported-svg/Doctype Icons/Link.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / MP4,Doctype Icons,MP4,1518:29466,icon-assets/exported-svg/Doctype Icons/MP4.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / Overlay,Doctype Icons,Overlay,1518:29468,icon-assets/exported-svg/Doctype Icons/Overlay.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / Pack,Doctype Icons,Pack,1518:29470,icon-assets/exported-svg/Doctype Icons/Pack.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / Pages,Doctype Icons,Pages,1518:29472,icon-assets/exported-svg/Doctype Icons/Pages.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / PDF,Doctype Icons,PDF,1518:29474,icon-assets/exported-svg/Doctype Icons/PDF.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / PSD,Doctype Icons,PSD,1518:29476,icon-assets/exported-svg/Doctype Icons/PSD.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / quip_doc,Doctype Icons,quip_doc,1518:29432,icon-assets/exported-svg/Doctype Icons/quip_doc.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / quip_sheet,Doctype Icons,quip_sheet,1518:29434,icon-assets/exported-svg/Doctype Icons/quip_sheet.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / quip_slide,Doctype Icons,quip_slide,1518:29430,icon-assets/exported-svg/Doctype Icons/quip_slide.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / RTF,Doctype Icons,RTF,1518:29478,icon-assets/exported-svg/Doctype Icons/RTF.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / Slide,Doctype Icons,Slide,1518:29480,icon-assets/exported-svg/Doctype Icons/Slide.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / Stypi,Doctype Icons,Stypi,1518:29482,icon-assets/exported-svg/Doctype Icons/Stypi.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / Text,Doctype Icons,Text,1518:29484,icon-assets/exported-svg/Doctype Icons/Text.svg,primary,visual-required,Searchable and usable after visual verification.
